,Mean Travel Time to Work (Minutes),Mean Travel Time to Work (Minutes): MOE
Ayers,31,4.3
Brown,22.5,1.9
Champaign,17.5,1.3
City of Champaign,15.7,0.5
Colfax,N/A,N/A
Compromise,26.3,3.6
Condit,25,3.6
Crittenden,19.2,3.6
Cunningham,15.6,0.7
East Bend,17.7,3
Harwood,22.3,2.4
Hensley,16.8,3.7
Kerr,33.2,12.1
Ludlow,21.6,4.3
Mahomet,21.2,1.8
Newcomb,24.2,7.6
Ogden,22.4,1.6
Pesotum,22.7,2.5
Philo,20.5,1.3
Rantoul,22.1,2
Raymond,32.2,4.7
Sadorus,25.8,5.4
St. Joseph,21.2,1.8
Scott,17.9,3
Sidney,24.7,3.7
Somer,23,11.5
South Homer,24.9,2.1
Stanton,23,3.7
Tolono,23.8,4.9
Urbana,19.5,3.8
