,Ayers Township,Ayers Township: MOE,Brown Township,Brown Township: MOE,Champaign Township,Champaign Township: MOE,City of Champaign Township,City of Champaign Township: MOE,Colfax Township,Colfax Township: MOE,Compromise Township,Compromise Township: MOE,Condit Township,Condit Township: MOE,Crittenden Township,Crittenden Township: MOE,Cunningham Township,Cunningham Township: MOE,East Bend Township,East Bend Township: MOE,Harwood Township,Harwood Township: MOE,Hensley Township,Hensley Township: MOE,Kerr Township,Kerr Township: MOE,Ludlow Township,Ludlow Township: MOE,Mahomet Township,Mahomet Township: MOE,Newcomb Township,Newcomb Township: MOE,Ogden Township,Ogden Township: MOE,Pesotum Township,Pesotum Township: MOE,Philo Township,Philo Township: MOE,Rantoul Township,Rantoul Township: MOE,Raymond Township,Raymond Township: MOE,Sadorus Township,Sadorus Township: MOE,St. Joseph Township,St. Joseph Township: MOE,Scott Township,Scott Township: MOE,Sidney Township,Sidney Township: MOE,Somer Township,Somer Township: MOE,South Homer Township,South Homer Township: MOE,Stanton Township,Stanton Township: MOE,Tolono Township,Tolono Township: MOE,Urbana Township,Urbana Township: MOE
"Less than $10,000",9,9,7,11,91,67,864,203,0,11,9,8,0,11,0,11,510,163,0,11,13,13,25,30,0,11,190,106,69,87,0,11,1,3,2,3,18,28,109,62,0,11,3,3,57,61,12,11,3,5,0,11,3,5,0,11,104,76,39,35
"$10,000-$14,999",1,4,9,11,28,30,249,108,0,11,0,11,0,11,10,14,257,105,18,27,3,4,0,11,0,11,44,49,22,25,3,5,4,5,0,11,15,23,86,58,3,3,2,3,14,21,18,17,3,4,5,9,8,11,0,11,12,18,43,51
"$15,000-$19,999",0,11,0,11,99,97,588,188,0,11,7,10,0,11,0,11,160,91,0,11,9,13,0,11,0,11,29,31,52,51,0,11,4,6,6,11,0,11,124,70,2,3,4,5,0,15,1,3,11,13,8,13,6,7,0,11,31,79,158,88
"$20,000-$24,999",6,9,17,19,79,47,578,174,0,11,0,11,0,11,0,11,254,117,0,11,0,11,19,31,3,4,104,89,78,51,6,7,18,17,2,4,8,9,123,68,3,4,2,3,103,81,34,41,11,9,18,19,27,22,0,11,0,15,83,70
"$25,000-$29,999",9,13,20,12,46,32,270,91,0,11,12,14,0,11,0,11,196,69,8,11,3,5,0,11,0,11,90,71,65,55,0,11,21,15,2,3,0,11,106,49,0,11,10,9,15,23,8,9,7,7,5,7,4,6,0,11,34,29,110,80
"$30,000-$34,999",8,7,21,16,40,34,609,160,0,11,11,7,0,11,0,11,387,163,8,14,0,11,42,51,0,11,39,53,97,54,9,16,23,17,2,4,8,7,238,94,1,3,3,6,14,21,15,16,29,19,23,28,18,17,0,11,23,24,77,61
"$35,000-$39,999",12,12,41,29,52,26,463,133,0,11,12,9,11,14,0,11,322,128,27,38,0,11,67,57,0,11,36,39,185,96,0,11,16,13,2,3,6,6,146,78,2,3,6,5,0,15,1,3,32,25,8,13,9,13,0,11,8,13,84,64
"$40,000-$44,999",0,11,35,21,54,34,520,198,0,11,10,7,0,11,0,11,192,81,0,11,2,4,10,14,0,11,12,13,73,66,9,13,25,15,4,5,7,8,123,66,39,29,13,12,53,46,2,5,8,8,0,11,16,10,14,22,29,31,114,89
"$45,000-$49,999",6,5,63,38,46,30,621,183,0,11,10,9,0,11,8,11,236,96,8,11,20,16,0,11,3,4,36,39,82,74,7,7,8,6,7,7,27,17,155,88,0,11,22,24,54,41,17,12,30,18,11,16,26,16,15,22,70,42,82,49
"$50,000-$59,999",5,10,34,24,204,87,1260,275,0,11,33,18,8,7,0,11,460,128,34,21,3,5,24,18,0,11,56,55,184,109,30,22,54,30,11,8,17,11,386,108,1,3,26,24,84,42,34,26,57,30,29,24,59,24,0,11,86,64,140,82
"$60,000-$74,999",18,10,72,30,251,71,1916,279,0,11,82,25,53,50,8,11,547,129,26,23,24,14,16,17,0,11,116,73,315,127,46,30,31,16,43,21,92,34,351,111,16,14,41,27,213,100,14,13,74,31,24,30,55,39,9,11,157,81,248,95
"$75,000-$99,999",22,16,66,28,476,96,1915,260,0,11,55,18,17,14,16,15,683,146,24,20,19,10,32,31,25,25,272,132,727,198,62,32,89,33,44,14,125,41,372,88,8,8,60,35,394,128,40,28,71,23,23,18,90,37,102,67,296,101,174,82
"$100,000-$124,999",21,14,66,29,455,108,1647,246,37,39,65,25,24,15,56,40,630,151,23,22,14,9,29,34,19,13,78,49,611,155,47,33,28,18,27,21,162,55,207,80,9,11,41,26,312,120,50,27,101,33,59,44,76,35,13,11,191,73,122,56
"$125,000-$149,999",3,5,37,23,280,66,1114,250,0,11,60,29,4,6,13,14,385,120,0,11,26,19,11,15,10,7,21,13,428,159,41,27,46,20,16,20,37,21,87,48,0,11,6,5,182,79,18,14,70,25,41,30,21,15,17,16,127,58,72,56
"$150,000-$199,999",3,4,15,13,372,97,1028,174,0,11,14,10,3,4,0,11,431,110,33,29,12,12,21,24,0,11,51,38,552,168,52,39,33,16,23,25,29,24,100,61,2,3,21,20,144,66,31,22,24,20,28,44,10,12,6,10,35,30,52,44
"$200,000 or more",18,16,23,11,279,74,1744,222,0,11,8,6,38,24,0,11,504,157,0,11,5,6,11,16,4,6,17,18,263,107,46,33,35,28,2,3,52,29,40,32,6,8,53,75,0,15,32,45,26,19,10,16,36,24,28,30,81,49,88,41
