,Native - Estimate,Native - MOE,Foreign Born - Estimate,Foreign Born - MOE,Foreign Born; Naturalized Citizen - Estimate,Foreign Born; Naturalized Citizen - MOE,Foreign Born; Not a US Citizen - Estimate,Foreign Born; Not a US Citizen - MOE
Ayers,475,87,5,6,0,11,5,6
Brown,"1,927",288,22,14,12,9,10,11
Champaign,"9,533",277,"1,736",280,637,169,"1,099",260
City of Champaign,"73,692",890,"12,018",889,"3,715",462,"8,303",934
Colfax,85,70,0,11,0,11,0,11
Compromise,"1,481",175,14,13,11,11,3,4
Condit,565,163,0,11,0,11,0,11
Crittenden,245,88,17,18,8,12,9,13
Cunningham,"33,788",641,"8,353",635,"2,146",381,"6,207",625
East Bend,686,189,0,11,0,11,0,11
Harwood,619,157,14,17,9,14,5,9
Hensley,"1,081",325,42,52,42,52,0,11
Kerr,241,123,0,11,0,11,0,11
Ludlow,"3,902",223,398,226,132,85,266,219
Mahomet,"12,891",273,564,270,353,200,211,151
Newcomb,"1,202",248,43,38,25,35,18,16
Ogden,"1,578",205,13,13,8,11,5,7
Pesotum,786,210,2,3,2,3,0,11
Philo,"2,033",286,19,24,5,6,14,23
Rantoul,"10,819",186,466,183,211,103,255,152
Raymond,393,146,2,3,0,11,2,3
Sadorus,"1,225",391,4,4,4,4,0,11
St. Joseph,"5,794",103,114,99,105,97,9,16
Scott,"1,112",235,25,27,1,4,24,28
Sidney,"1,840",178,29,26,26,25,3,4
Somer,891,192,0,11,0,11,0,11
South Homer,"1,660",188,0,11,0,11,0,11
Stanton,752,247,10,12,0,11,10,12
Tolono,"5,272",106,158,106,12,19,146,102
Urbana,"6,673",230,637,225,188,102,449,195
