,Owner-Occupied,Owner-Occupied: MOE,Renter-Occupied,Renter-Occupied: MOE
Ayers,183,33,16,13
Brown,556,83,159,61
Champaign,"3,162",182,"1,640",183
City of Champaign,"15,158",508,"18,676",614
Colfax,51,37,0,11
Compromise,526,51,114,68
Condit,193,63,25,22
Crittenden,93,45,18,17
Cunningham,"6,120",367,"9,866",566
East Bend,251,63,16,18
Harwood,152,32,67,32
Hensley,352,83,87,58
Kerr,63,26,7,6
Ludlow,1071,220,762,169
Mahomet,"3,912",267,"1,024",209
Newcomb,482,73,6,7
Ogden,560,64,57,24
Pesotum,296,79,10,8
Philo,591,77,126,49
Rantoul,"2,294",203,"1,894",184
Raymond,121,43,14,13
Sadorus,369,86,67,40
St. Joseph,"1,909",137,313,114
Scott,352,75,148,52
Sidney,600,70,137,48
Somer,324,68,100,56
South Homer,564,59,92,32
Stanton,249,68,4,7
Tolono,"1,504",154,580,124
Urbana,"2,347",232,988,258
