Township,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Ayers,865,929,789,747,679,636,571,504,503,481,441,453
Brown,"1,544","1,396","1,551","1,376","1,414","1,480",1611,1837,1616,1488,1495,1955
Champaign,"9,966","13,353","16,942","2,116","2,294","5,457",2705,6592,8184,8864,11591,10834
City of Champaign,-,-,-,"19,151","21,957","35,935",49583,56837,58133,63502,67959,81055
Colfax,901,800,727,728,590,528,459,412,355,271,250,266
Compromise,"1,576","1,557","1,569","1,444","1,301","1,371",1454,1707,1588,1525,1422,1463
Condit,777,689,649,608,556,476,449,407,477,467,511,500
Crittenden,820,683,704,599,522,480,433,384,312,315,345,325
Cunningham,-,-,-,-,"14,064","22,450",27294,33976,35978,36344,37362,41250
East Bend,"1,113",879,806,815,749,740,721,821,817,814,880,584
Harwood,750,737,617,645,590,568,519,471,625,589,618,623
Hensley,610,596,577,569,520,495,478,629,1254,1073,1111,1278
Kerr,427,418,349,368,290,263,231,225,177,200,173,163
Ludlow,"1,060","1,530","1,418","1,463","1,651","4,176",4149,5750,5114,4744,4766,4278
Mahomet,"1,277","1,329","1,209","1,328","1,369","1,614",2185,3862,6909,8440,10113,12623
Newcomb,854,744,755,643,664,529,526,617,805,921,1004,1292
Ogden,"1,392","1,389","1,371","1,283","1,208","1,217",1288,1373,1574,1397,1601,1680
Pesotum,"1,094","1,096","1,128",998,872,858,854,864,994,931,849,845
Philo,"1,175","1,239","1,169","1,104","1,005","1,021",1211,1453,1483,1480,1768,1954
Rantoul,"2,365","1,995","2,252","3,137","6,187","11,906",20798,22568,18139,15691,11257,11273
Raymond,"1,093","1,052",973,942,837,731,670,581,529,459,437,418
Sadorus,"1,757","1,688","1,644","1,492","1,437","1,441",1263,1296,1189,1126,1039,967
St. Joseph,"1,491","1,406","1,508","1,467","1,435","1,536",1842,2494,3612,3694,4611,5876
Scott,"1,026",984,"1,028",988,928,974,972,1181,1094,1059,1157,1258
Sidney,"1,452","1,303","1,383","1,306","1,261","1,203",1215,1378,1358,1521,1609,1733
Somer,940,866,783,797,780,963,1081,1321,1238,1282,1421,1268
South Homer,"1,821","1,655","1,524","1,431","1,488","1,466",1707,1722,1617,1624,1585,1601
Stanton,865,759,731,629,559,509,487,546,513,474,474,505
Tolono,"1,663","1,379","1,410","1,371","1,366","1,588",2190,2853,3410,3574,3757,5270
Urbana,"6,948","9,378","11,393","14,728","2,005","3,489",3490,8620,8795,8675,8063,7451
