Township,Total Population,Total Population: MOE,White Alone,White Alone: MOE,Black or African American Alone,Black or African American Alone: MOE,American Indian and Alaska Native Alone,American Indian and Alaska Native Alone: MOE,Asian Alone,Asian Alone: MOE,Native Hawaiian and Other Pacific Islander Alone,Native Hawaiian and Other Pacific Islander Alone: MOE,Some Other Race Alone,Some Other Race Alone: MOE,Two or More Races,Two or More Races: MOE,Hispanic or Latino,Hispanic or Latino: MOE,Not Hispanic or Latino,Not Hispanic or Latino: MOE
Ayers,480,87,475,87,1,3,0,11,3,4,0,11,0,11,1,2,9,13,471,84
Brown,"1,949",290,"1,903",279,7,9,0,11,2,5,0,11,0,11,37,28,42,40,"1,907",286
Champaign,"11,269",52,"8,614",316,486,193,0,17,"1,686",282,0,17,55,54,428,166,678,319,"10,591",320
City of Champaign,"85,710",42,"56,350",826,"15,137",842,90,61,"10,634",613,0,26,987,328,"2,512",531,"5,489",523,"80,221",528
Colfax,85,70,85,70,0,11,0,11,0,11,0,11,0,11,0,11,18,26,67,54
Compromise,"1,495",175,"1,461",180,19,20,1,2,3,4,0,11,0,11,11,11,31,22,"1,464",169
Condit,565,163,558,165,0,11,0,11,0,11,0,11,0,11,7,10,0,11,565,163
Crittenden,262,90,253,87,0,11,0,11,9,13,0,11,0,11,0,11,8,12,254,90
Cunningham,"42,141",59,"24,997",663,"7,064",644,122,74,"8,276",553,79,120,214,108,1389,303,"2,238",330,"39,903",328
East Bend,686,189,686,189,0,11,0,11,0,11,0,11,0,11,0,11,0,11,686,189
Harwood,633,166,597,167,36,35,0,11,0,11,0,11,0,11,0,11,85,83,548,130
Hensley,"1,123",309,898,321,179,148,0,11,33,51,0,11,0,11,13,23,0,11,"1,123",309
Kerr,241,123,241,123,0,11,0,11,0,11,0,11,0,11,0,11,0,11,241,123
Ludlow,"4,300",25,"3,288",477,341,244,24,29,230,215,0,11,273,383,144,163,572,422,"3,728",425
Mahomet,"13,455",23,"12,814",433,277,410,9,15,100,91,30,37,0,17,225,145,648,287,"12,807",291
Newcomb,"1,245",248,"1,245",248,0,11,0,11,0,11,0,11,0,11,0,11,0,11,"1,245",248
Ogden,"1,591",209,"1,569",202,0,11,1,2,7,10,0,11,0,11,14,17,12,15,"1,579",210
Pesotum,788,210,686,170,2,3,0,11,2,4,15,22,2,4,81,98,97,119,691,170
Philo,"2,052",291,"2,007",285,0,11,0,11,6,4,0,11,28,45,11,12,65,85,"1,987",293
Rantoul,"11,285",27,"8,186",481,"2,432",456,0,17,89,81,4,6,89,94,485,240,968,359,"10,317",359
Raymond,395,146,389,146,0,11,0,11,0,11,0,11,0,11,6,7,5,7,390,146
Sadorus,"1,229",391,"1,222",391,0,11,1,2,0,11,0,11,0,11,6,8,2,4,"1,227",391
St. Joseph,"5,908",20,"5,756",119,2,4,11,17,79,84,0,15,21,32,39,43,55,63,"5,853",67
Scott,"1,137",239,"1,076",236,15,16,2,3,38,45,0,11,0,11,6,12,22,38,"1,115",234
Sidney,"1,869",180,"1,825",185,28,19,0,11,5,7,0,11,8,9,3,6,13,11,"1,856",181
Somer,891,192,877,192,0,11,0,11,0,11,0,11,0,11,14,16,31,34,860,182
South Homer,"1,660",188,"1,659",188,0,11,1,2,0,11,0,11,0,11,0,11,4,6,"1,656",188
Stanton,762,246,747,253,0,11,6,10,0,11,0,11,0,11,9,16,15,25,747,253
Tolono,"5,430",18,"4,937",225,272,164,0,15,89,74,0,15,85,129,47,44,193,155,"5,237",155
Urbana,"7,310",27,"5,857",408,912,325,55,49,190,167,0,15,60,71,236,147,650,292,"6,660",294
