,"Less than $10,000","Less than $10,000: MOE","$10,000-$14,999","$10,000-$14,999: MOE","$15,000-$19,999","$15,000-$19,999: MOE","$20,000-$24,999","$20,000-$24,999: MOE","$25,000-$29,999","$25,000-$29,999: MOE","$30,000-$34,999","$30,000-$34,999: MOE","$35,000-$39,999","$35,000-$39,999: MOE","$40,000-$49,999","$40,000-$49,999: MOE","$50,000-$59,999","$50,000-$59,999: MOE","$60,000-$69,999","$60,000-$69,999: MOE","$70,000-$79,999","$70,000-$79,999: MOE","$80,000-$89,999","$80,000-$89,999: MOE","$90,000-$99,999","$90,000-$99,999: MOE","$100,000-$124,999","$100,000-$124,999: MOE","$125,000-$149,999","$125,000-$149,999: MOE","$150,000-$174,999","$150,000-$174,999: MOE","$175,000-$199,999","$175,000-$199,999: MOE","$200,000-$249,999","$200,000-$249,999: MOE","$250,000-$299,999","$250,000-$299,999: MOE","$300,000-$399,999","$300,000-$399,999: MOE","$400,000-$499,999","$400,000-$499,999: MOE","$500,000-$749,999","$500,000-$749,999: MOE","$750,000-$999,999","$750,000-$999,999: MOE","$1,000,000-$1,499,999","$1,000,000-$1,499,999: MOE","$1,500,000-$1,999,999","$1,500,000-$1,999,999: MOE","$2,000,000 or more","$2,000,000 or more: MOE"
Ayers,2,3,10,13,1,3,0,11,7,10,5,7,5,7,2,3,22,13,7,5,7,7,20,14,14,9,32,19,12,11,15,12,9,12,4,4,0,11,0,11,8,11,0,11,1,2,0,11,0,11,0,11
Brown,16,18,14,20,0,11,2,3,1,2,2,3,6,6,28,24,23,26,9,7,20,12,26,16,28,17,81,38,86,31,80,28,40,22,54,28,18,15,22,19,0,11,0,11,0,11,0,11,0,11,0,11
Champaign,49,30,10,14,12,19,8,12,0,17,0,17,0,17,0,17,0,17,0,17,21,23,45,35,70,50,158,76,207,72,323,96,500,94,886,134,381,95,269,74,106,36,86,36,15,15,8,11,0,17,8,13
City of Champaign,135,62,118,63,26,31,32,34,8,13,35,32,93,62,174,91,157,77,327,94,338,112,487,145,607,141,2407,356,2063,303,2150,283,1333,243,1659,239,880,196,1196,203,382,104,354,92,94,63,103,70,0,26,0,26
Colfax,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,14,21,0,11,0,11,0,11,19,28,18,26,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Compromise,4,4,0,11,2,5,0,11,5,6,0,11,2,3,3,4,24,22,24,10,25,16,19,13,31,14,66,27,57,17,98,29,58,24,66,31,14,10,21,11,3,4,4,5,0,11,0,11,0,11,0,11
Condit,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,3,4,0,11,3,4,43,22,22,15,38,25,63,51,7,12,6,11,8,11,0,11,0,11,0,11,0,11
Crittenden,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,8,0,11,0,11,0,11,0,11,0,11,7,11,8,11,0,11,37,46,0,11,17,17,0,11,18,17,0,11,0,11,0,11,0,11
Cunningham,74,60,48,46,22,25,0,23,2,5,5,14,0,23,43,35,60,50,185,118,515,166,250,104,411,136,664,172,899,175,902,216,444,123,612,115,351,104,342,115,148,59,116,66,27,34,0,23,0,23,0,23
East Bend,8,11,0,11,0,11,0,11,0,11,0,11,0,11,27,38,0,11,0,11,16,16,0,11,0,11,11,15,36,34,16,17,10,15,40,25,87,58,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Harwood,13,9,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,4,2,3,5,8,0,11,0,11,25,19,14,13,15,9,27,16,22,14,18,10,2,3,3,4,0,11,0,11,0,11,0,11,0,11
Hensley,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,20,5,11,15,20,0,11,40,40,27,35,71,37,28,23,18,19,45,27,41,39,49,53,0,11,0,11,0,11,0,11,0,11,0,11
Kerr,0,11,0,11,0,11,3,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,3,4,9,15,0,11,3,4,12,8,11,11,19,20,3,5,0,11,0,11,0,11,0,11,0,11
Ludlow,112,66,2,3,17,23,0,11,8,9,6,7,2,3,12,14,76,57,53,51,94,52,46,43,23,30,220,110,99,53,146,77,71,41,20,27,15,12,27,22,22,31,0,11,0,11,0,11,0,11,0,11
Mahomet,121,59,107,99,0,17,49,40,0,17,4,10,58,49,14,17,12,20,19,24,60,53,50,53,11,21,73,51,316,104,446,114,565,130,742,187,493,167,473,153,115,64,155,90,29,39,0,17,0,17,0,17
Newcomb,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,12,0,11,13,14,3,4,48,26,46,45,68,35,18,20,120,53,19,18,97,46,19,14,14,16,0,11,9,13,0,11,0,11
Ogden,2,4,6,6,0,11,0,11,0,11,0,11,3,5,0,11,11,16,15,13,12,11,40,19,36,16,103,31,89,31,55,22,42,28,56,26,21,16,39,21,20,24,10,12,0,11,0,11,0,11,0,11
Pesotum,4,5,2,3,0,11,0,11,0,11,9,11,0,11,0,11,5,9,2,4,21,14,13,8,34,25,69,24,19,11,27,15,59,70,2,3,18,22,12,20,0,11,0,11,0,11,0,11,0,11,0,11
Philo,0,11,0,11,3,4,0,11,0,11,0,11,3,5,0,11,0,11,3,4,0,11,6,7,10,13,88,25,106,34,158,58,58,31,47,18,50,32,25,12,13,9,3,5,16,23,2,5,0,11,0,11
Rantoul,33,19,57,35,13,12,33,43,3,4,71,43,35,31,147,68,122,65,162,58,218,65,327,107,184,77,369,112,177,74,142,55,66,50,54,30,25,25,34,18,9,12,5,7,5,6,0,17,0,17,3,4
Raymond,0,11,0,11,9,8,5,5,3,3,3,4,3,4,7,5,13,13,6,6,2,3,4,4,0,11,0,11,18,18,35,34,0,11,4,5,9,12,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Sadorus,1,3,4,6,0,11,3,4,5,8,5,6,0,11,10,7,6,5,8,9,25,13,34,18,58,28,114,82,15,11,23,23,34,26,7,7,4,7,13,18,0,11,0,11,0,11,0,11,0,11,0,11
St. Joseph,14,21,13,21,12,17,0,15,0,15,0,15,0,15,14,22,0,15,16,24,14,21,99,62,90,56,99,54,319,121,306,104,255,100,305,118,129,69,200,110,24,27,0,15,0,15,0,15,0,15,0,15
Scott,18,15,7,10,0,11,2,3,0,11,0,11,0,11,2,3,42,50,1,3,4,5,11,10,7,9,52,25,52,30,28,20,35,23,51,43,21,23,18,19,0,11,0,11,1,3,0,11,0,11,0,11
Sidney,0,11,0,11,0,11,0,11,0,11,4,6,3,5,3,5,0,11,23,18,7,7,37,24,25,16,96,35,106,35,64,27,79,30,71,33,26,20,36,20,0,11,17,12,3,5,0,11,0,11,0,11
Somer,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,11,0,11,31,33,16,24,19,28,28,25,41,34,53,47,36,25,33,27,47,28,5,7,0,11,0,11,10,16,0,11,0,11,0,11
South Homer,4,6,0,11,0,11,0,11,3,4,6,8,0,11,19,19,21,11,19,14,26,13,44,20,58,27,118,38,78,27,70,43,22,17,23,16,22,14,23,16,8,12,0,11,0,11,0,11,0,11,0,11
Stanton,16,26,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,32,45,31,34,0,11,0,11,5,7,21,25,17,15,54,50,21,15,10,12,27,20,0,11,0,11,0,11,15,22,0,11,0,11
Tolono,36,44,10,16,0,15,31,49,0,15,0,15,47,53,13,20,0,15,33,24,46,36,23,27,15,22,326,87,117,69,148,64,110,71,213,87,229,114,52,49,18,21,13,20,0,15,12,18,12,17,0,15
Urbana,329,109,38,41,31,51,113,77,55,48,88,75,25,38,90,54,25,26,79,57,180,89,107,70,251,124,212,87,240,103,96,54,53,40,158,75,25,27,74,52,7,11,38,27,33,49,0,15,0,15,0,15
