NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,Median Household Income,DP03_0119PE
Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families
"Boys Ranch CDP, Texas",480,2.63,74,3.9,-,0
"Guthrie CDP, Texas",184,3.9,13,10.7,57143,0
"Gail CDP, Texas",232,3.21,59,29.2,70833,0
"Bartonville town, Texas",2038,3.6,227,30.5,139250,3.1
"Annetta North town, Texas",559,3.04,15,29.8,126667,0
"Pleasanton city, Texas",10309,3.38,2644,27.6,59853,15.9
"Fairchilds village, Texas",888,3.43,160,33,62639,1.3
"Sour Lake city, Texas",1901,3,95,27.2,51250,4.4
"Quitman city, Texas",2236,3.06,36,27.2,45821,14.3
"Midway South CDP, Texas",2739,4.99,2014,25.8,28995,29.1
"Kempner city, Texas",1157,3.06,165,35.3,50658,11
"Payne Springs town, Texas",704,2.86,23,34.5,44107,9
"Taft Southwest CDP, Texas",994,4.04,543,20.7,-,31.5
"Spade CDP, Texas",124,2.92,40,N,-,16.2
"Woodville town, Texas",2483,3.24,159,26.2,41163,17.8
"Airport Road Addition CDP, Texas",261,5.8,149,N,80938,15.6
"Eureka city, Texas",341,3.24,30,29.1,65833,9.3
"Joaquin city, Texas",896,3.44,43,33.2,37167,17.7
"Refugio town, Texas",2861,3.3,816,19.2,49125,14.8
"Cantu Addition CDP, Texas",130,4.07,72,N,43917,25.9
"Red Oak city, Texas",11993,3.43,1853,30.6,72788,4.2
"Toyah town, Texas",114,3.68,44,35,-,29
"Kermit city, Texas",6405,3.75,2303,19.4,47903,17.6
"Sanderson CDP, Texas",616,3.04,354,32.4,24450,14.1
"Reklaw city, Texas",404,3.31,62,22.8,37083,17.6
"Cushing city, Texas",483,2.78,36,31.5,44375,10.1
"Dickinson city, Texas",19874,3.3,4104,29.5,68750,10.6
"Pearsall city, Texas",10111,4.42,5920,14.9,41701,20.3
"Evant town, Texas",500,3.28,91,31.3,40179,20.6
"Andrews city, Texas",13333,3.79,5509,19.3,70578,13.3
"Groom town, Texas",721,3.13,26,19.9,70938,6.8
"Skellytown town, Texas",486,3.09,33,24.9,46625,1.7
"Wells town, Texas",828,3,41,27.7,27981,44.4
"Bartlett city, Texas",2243,3.67,506,24.4,36563,11.9
"Granger city, Texas",1385,3.3,338,26.5,41953,20.7
"Taylor city, Texas",16603,3.62,4779,28.2,47839,10.5
"Cibolo city, Texas",26602,3.6,4170,29.7,92773,4.1
"St. Hedwig town, Texas",2170,3.53,206,31,77386,8
"Scenic Oaks CDP, Texas",5804,3.54,993,29.2,133293,7.9
"Mount Enterprise city, Texas",507,3.08,22,31.3,48000,13.7
"Amherst city, Texas",811,3.41,335,18,46771,15.7
"Megargel town, Texas",242,2.33,0,33.7,50208,4.7
"Flowella CDP, Texas",23,-,23,N,-,-
"La Ward city, Texas",215,3.18,65,29.6,64500,11.3
"Sanford town, Texas",172,3.55,6,13.7,50313,42.9
"Vanderbilt CDP, Texas",670,5.45,178,19.8,61650,6.8
"Richland Hills city, Texas",8036,3.03,1673,23.5,54961,4
"Brazos Bend city, Texas",327,2.37,5,30.9,107500,0.8
"San Augustine city, Texas",2136,3.44,196,25.3,28935,24.2
"Daingerfield city, Texas",2613,3.16,347,22,37837,21.9
"Taylor Landing city, Texas",248,3.08,1,29,91250,0
"Van Vleck CDP, Texas",1638,3.09,182,19.5,50658,13
"Angus city, Texas",506,3.67,91,23.3,50313,23.6
"Emhouse town, Texas",160,3.44,33,30.4,34375,2.8
"Bogata city, Texas",1252,3.07,18,23.8,34306,17.5
"Fate city, Texas",10339,3.66,1532,32.5,102426,1
"Selma city, Texas",9217,3.58,1913,26.5,77970,7.7
"Blum town, Texas",406,3.73,17,32.1,55938,10.1
"Hubbard city, Texas",1607,3.39,27,25.9,33229,17.9
"Brady city, Texas",5407,3.24,1240,15.6,36970,13.4
"Hearne city, Texas",4447,3.79,1506,24.9,52321,20.9
"Bailey's Prairie village, Texas",740,3.21,65,27.5,92917,3.3
"McLendon-Chisholm city, Texas",2275,3.39,110,35,127500,2.1
"Industry city, Texas",264,2.96,30,30.4,46250,1.4
"Bellville city, Texas",4191,2.88,524,22.9,48438,2.8
"Bonney village, Texas",286,3.71,73,22.1,49375,13.6
"Brookside Village city, Texas",2005,3.42,616,26.4,75809,11.5
"Clute city, Texas",11414,3.34,4125,18.9,49093,19.2
"Iowa Colony village, Texas",1040,3.29,399,39.1,92679,4.9
"Jones Creek village, Texas",2322,3.38,541,26.1,69583,9.4
"Oyster Creek city, Texas",1258,3.59,119,17.1,42188,18.2
"Quintana town, Texas",33,3.17,1,N,63750,83.3
"Surfside Beach city, Texas",633,2.67,63,23.4,56250,3.6
"Rice city, Texas",955,3.46,167,24.7,51364,9.5
"Royse City city, Texas",11114,3.59,1235,34,75683,7.1
"Huxley city, Texas",440,3.06,9,35.6,50625,12.5
"Palisades village, Texas",302,3.15,10,28.4,67500,2.5
"Nash city, Texas",3229,3.46,67,16.1,40295,5.8
"Channelview CDP, Texas",40983,3.89,21576,27,59489,14.3
"League City city, Texas",98215,3.31,15738,30.4,100996,4.3
"Huntington city, Texas",2346,3.27,61,24.2,34063,25.1
"Throckmorton town, Texas",689,2.55,144,26.3,35100,7.5
"Early city, Texas",2860,3.25,126,13.7,48571,6.4
"Scottsville city, Texas",311,3.45,23,22.8,51406,1.4
"Waskom city, Texas",2019,3.55,252,23.2,30863,21
"Mabank town, Texas",3159,3.33,291,20.4,41122,20.2
"Terrell city, Texas",16997,3.51,3350,25,42555,18.4
"Corrigan town, Texas",1845,3.14,564,20.7,30391,23.2
"West Livingston CDP, Texas",7534,2.87,1350,33.6,43145,15.3
"Callisburg city, Texas",403,3.24,0,30.1,74375,3.8
"Gainesville city, Texas",16141,3,4136,20.5,44105,20.8
"Cameron city, Texas",5427,3.18,744,21.5,34909,20.2
"Gholson city, Texas",997,2.66,74,28.8,63125,7.8
"Falcon Lake Estates CDP, Texas",1110,3.76,838,11.2,54412,10.1
"Cranfills Gap city, Texas",384,2.99,73,19.3,41250,15.9
"Morgan city, Texas",539,3.46,190,37,35568,23.1
"Italy town, Texas",1835,3.58,357,27.4,43803,7
"Rose City city, Texas",512,3.54,96,18.7,58690,1.5
"Elkhart town, Texas",1365,3.33,37,24.6,34539,17.7
"Inez CDP, Texas",2433,3.14,171,28,88667,8.1
"Victoria city, Texas",66515,3.3,16165,18.1,52255,13.3
"Browndell city, Texas",251,5.14,0,36.2,-,27.9
"Jamaica Beach city, Texas",1014,2.79,56,24.9,60813,1.1
"Botines CDP, Texas",22,-,10,N,-,-
"Laredo Ranchettes CDP, Texas",71,7.89,71,-,-,100
"Mirando City CDP, Texas",423,4.22,359,12.2,26705,40.7
"Ranchitos Las Lomas CDP, Texas",324,5.41,271,17.3,51591,12.1
"Hartley CDP, Texas",531,2.8,238,11.3,43750,20.7
"Howardwick city, Texas",371,2.73,0,31.5,45313,6.3
"Copper Canyon town, Texas",2277,3.13,260,33.7,127576,2.3
"Vega city, Texas",910,3.26,63,20.3,53947,7.9
"Lavon city, Texas",2832,3.56,389,41.1,81979,0
"Little Elm city, Texas",39471,3.51,10204,35.1,93094,4.8
"Mart city, Texas",1897,3.2,110,23.1,42945,18.5
"Valley Mills city, Texas",1375,3.24,183,20.3,61488,8.4
"Woodway city, Texas",8719,3.02,634,15.9,80051,2.3
"Buda city, Texas",13253,3.2,2278,35.2,79821,1.5
"Dripping Springs city, Texas",2764,3.74,750,28.6,76771,10.3
"Hays city, Texas",235,2.92,35,35.4,64167,14.1
"Dell City city, Texas",376,4.3,157,16.4,23385,31.1
"Clarksville City city, Texas",827,2.71,8,19.2,55250,8.6
"Kilgore city, Texas",14784,3.31,2772,22.9,57625,10.5
"Hawley city, Texas",715,2.91,20,20.6,50104,9
"Ingleside city, Texas",9898,3.35,2962,24.7,58856,10.3
"Hackberry town, Texas",2246,3.68,1068,32,92727,6.5
"Mount Pleasant city, Texas",16069,3.56,7501,15.6,41930,17.7
"Moran city, Texas",355,3.45,0,29.6,60357,20.5
"Center city, Texas",5388,3.66,1606,13,24718,36.5
"Claude city, Texas",1268,2.99,121,25.7,64125,4.2
"Arp city, Texas",949,3.49,35,25,60202,1.3
"Val Verde Park CDP, Texas",2888,3.89,1999,23.1,41920,16.1
"Creedmoor city, Texas",180,3.22,59,37.2,50000,11.8
"Pflugerville city, Texas",58013,3.39,14643,27.5,82145,4.7
"K-Bar Ranch CDP, Texas",542,4.39,110,35.9,66148,0
"Benjamin city, Texas",238,3.07,18,13.3,30833,25.9
"De Leon city, Texas",2292,2.98,470,29.6,37159,17.2
"West University Place city, Texas",15477,3.23,2087,20.1,243226,1.6
"Humble city, Texas",15736,3.52,4989,27.2,38961,16.5
"Hunters Creek Village city, Texas",4749,3.18,681,18.6,"250,000+",0
"Post city, Texas",5568,3.02,2894,15.7,50563,12.6
"Fairfield city, Texas",2918,3.19,445,21.7,45958,13.7
"Fredericksburg city, Texas",11046,3.06,2166,14.5,48893,10.7
"Willis city, Texas",6333,3.58,1979,29.7,42243,8.9
"Union Grove city, Texas",371,3.71,18,22.7,42500,21.1
"Madisonville city, Texas",4578,3.07,1164,16.3,38316,18.1
"Agua Dulce CDP, Texas",3212,4.49,2811,39.6,30450,44.7
"Rangerville village, Texas",47,2.4,37,N,-,0
"North Cleveland city, Texas",221,3.49,51,22.2,27500,38.3
"Prosper town, Texas",17107,3.6,2089,34,133971,2.4
"St. Paul town, Texas",1038,3.44,209,34.7,91953,5.3
"Ore City city, Texas",1219,3.44,90,21.8,40845,15.2
"Ingleside on the Bay city, Texas",777,2.89,53,24.1,77679,2.5
"Lake City town, Texas",470,2.76,97,36,44375,15.2
"Noonday city, Texas",644,2.95,79,24.5,61058,7.1
"Del Rio city, Texas",35951,3.74,23317,18.3,42500,19.1
"Box Canyon CDP, Texas",79,3,56,N,-,30.4
"Amistad CDP, Texas",13,2,2,N,-,0
"Mi Ranchito Estate CDP, Texas",397,3.93,292,N,15688,63.4
"Santel CDP, Texas",0,-,0,-,-,-
"La Escondida CDP, Texas",31,3.1,31,-,-,100
"El Brazil CDP, Texas",33,1.94,33,-,-,0
"La Carla CDP, Texas",210,8.4,124,N,149479,0
"Sammy Martinez CDP, Texas",113,5.38,97,N,-,0
"Martinez CDP, Texas",0,-,0,-,-,-
"El Rancho Vela CDP, Texas",595,6.13,496,33.1,-,15.6
"Valle Hermoso CDP, Texas",0,-,0,-,-,-
"El Mesquite CDP, Texas",0,-,0,-,-,-
"Elias-Fela Solis CDP, Texas",8,-,8,-,-,-
"Alto Bonito Heights CDP, Texas",193,3.78,193,-,19345,29.4
