Township,Average Household Size,Speaking a Language Other than English at Home,Mean Travel Time to Work (Minutes),Median Household Income ($),Assessed population,Employment/Population Ratio (%),Percent below poverty (%)
Ayers,2.41,13,31,63594,470,54,15.3
Brown,2.73,19,22.5,58162,1942,71.5,6.9
Champaign,2.32,2169,17.5,74541,11130,56.5,9.1
City of Champaign,2.3,16631,15.7,44638,77991,59.7,26.9
Colfax,1.67,0,22.5,101513,85,100,16.5
Compromise,2.34,50,26.3,63929,1484,66.4,6.5
Condit,2.59,0,25,83125,565,70.4,1.8
Crittenden,2.36,9,19.2,122786,262,45.5,7.3
Cunningham,2.18,10796,15.6,34273,34958,53.2,31.9
East Bend,2.57,0,17.7,54653,686,53.9,14
Harwood,2.57,84,22.3,62188,558,47.4,15.9
Hensley,2.56,33,16.8,41375,1123,49.2,9.5
Kerr,3.44,0,33.2,103571,241,91.3,0
Ludlow,2.35,637,21.6,37904,4300,64.5,21.7
Mahomet,2.73,840,21.2,82402,13447,70.6,6.2
Newcomb,2.55,31,24.2,84286,1245,61.1,0.5
Ogden,2.58,23,22.4,65156,1588,65.5,4
Pesotum,2.58,25,22.7,67500,786,65.1,3.3
Philo,2.85,51,20.5,86953,2042,72.4,4.8
Rantoul,2.57,1028,22.1,47048,10788,57,17.5
Raymond,2.93,15,32.2,44009,385,51.1,10.6
Sadorus,2.82,7,25.8,71429,1225,57.5,4.9
St. Joseph,2.65,141,21.2,83485,5887,70.8,4.6
Scott,2.27,35,17.9,55865,1134,67.5,20.5
Sidney,2.54,33,24.7,71827,1858,69.4,3.9
Somer,2.1,42,23,59224,891,52,9.1
South Homer,2.53,19,24.9,61500,1656,62.7,10
Stanton,3.01,0,23,88732,762,74,5.2
Tolono,2.6,279,23.8,67730,5400,69,17.4
Urbana,2.19,960,19.5,43906,7288,58.4,21.4
Allerton,2.66,0,34.6,48750,284,54.9,10.2
Bondville,2.29,19,18.5,46750,470,60.4,20.4
Broadlands,2.49,5,32.1,60417,364,57,19.8
Champaign,2.3,16631,15.7,44638,77991,59.7,26.9
Fisher,2.56,31,23.2,54886,1852,69.5,7.7
Foosland,3.25,0,25.4,53750,130,61.5,0.8
Gifford,2.39,31,25.2,64432,796,58.3,6.5
Homer,2.77,19,26,55625,1336,65.7,9.9
Ivesdale,2.3,0,38.3,50000,258,56.4,12.4
Longview,2.33,0,33.8,36875,133,56.9,18.8
Ludlow,3.03,10,23.5,44028,439,49.7,26.4
Mahomet,2.78,596,20.9,97621,8168,70.8,4.9
Ogden,2.53,3,22.2,61528,774,67.9,4.1
Pesotum,2.44,10,22,70000,511,66.2,5.1
Philo,2.9,9,20.9,78788,1574,74.8,0.9
Rantoul,2.56,1612,22,43605,12693,59.1,19.8
Royal,2.24,6,24.6,70938,300,61.3,8.3
Sadorus,2.17,7,29.1,54000,321,57.8,8.7
St. Joseph,2.62,97,20.5,83201,4292,71.1,6
Savoy,2.41,1836,20.7,67177,8412,57.2,15.3
Sidney,2.51,16,24.9,67578,1426,73.8,4.6
Thomasboro,2.18,24,20.4,50729,1082,64.9,9
Tolono,2.69,80,20.1,69712,2870,72.7,13.7
Urbana,2.18,10796,15.6,34273,34958,53.2,31.9
